,Basal Epithelial,Hematopoietic,Intermediate Epithelial,Mesenchymal,Mucosal-like,Superficial Epithelial
Bulk 0,0.15960274776967429,0.05867008832867512,0.014058921227644974,0.03939319564598781,0.09541937885342613,0.6328556681745916
Bulk 1,0.17870919660990192,0.060264155594483795,0.0,0.05588885311128417,0.10911090577530734,0.5960268889090228
Bulk 2,0.16956897671792512,0.054328474920841224,0.0,0.043234903562067994,0.0859626252452788,0.6469050195538869
Bulk 3,0.5208571479576958,0.016454072312069197,0.0,0.1885425271174696,0.03212990479027527,0.24201634782249007
Bulk 4,0.52666871361691,0.01940109779628682,0.0,0.1925102476555032,0.03278228265335765,0.22863765827794225
Bulk 5,0.5300186960172728,0.014338140080913908,0.0,0.1875795833077109,0.031131728190423587,0.2369318524036789
Bulk 6,0.3782057467459111,0.03545608181693647,0.0,0.2554230466830836,0.04706108045890658,0.2838540442951623
Bulk 7,0.38307593976346227,0.027375772415480466,0.0,0.26030858607310514,0.04175994389720134,0.2874797578507508
Bulk 8,0.3787624306625961,0.03601143174341846,0.0,0.26616334883818277,0.04129218161298809,0.27777060714281465
Bulk 9,0.1916588596453458,0.002655865367633219,0.009157526828278239,0.15084830822082188,0.0,0.645679439937921
Bulk 10,0.19325104382001212,0.0008118074176082904,0.0,0.13140316306739946,0.0,0.6745339856949801
Bulk 11,0.19339482186707374,0.0,0.0,0.15991099884459078,0.0,0.6466941792883355
Bulk 12,0.47132219634097466,0.04930707182896688,0.0,0.16972171499401825,0.041579336227144284,0.2680696806088961
Bulk 13,0.45583390794842116,0.0427481544288152,0.0,0.2032661451627145,0.04024794246066073,0.2579038499993885
Bulk 14,0.4759181840507664,0.029703952793700045,0.0,0.2014935408810125,0.026116346508385263,0.2667679757661358
Bulk 15,0.4418281505567878,0.014505971028642421,0.0,0.23344128661785654,0.013987176534867677,0.2962374152618456
Bulk 16,0.45427155839550387,0.011693591174774679,0.0,0.2554773857674178,0.021656363311768716,0.25690110135053484
Bulk 17,0.446671602610979,0.020107573207396694,0.0,0.26665049853133754,0.01778393162266273,0.24878639402762398
